id,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
4328556,ecole maternelle,,,renewables & environment,501 - 1000,"freiburg, baden-wuerttemberg, germany",germany,linkedin.com/company/ecole-maternelle,279,416
5078109,city of nyc,,,government administration,1001 - 5000,"new york, new york, united states",united states,linkedin.com/company/city-of-nyc,875,923
2213266,aig global investment group,,,insurance,201 - 500,"new york, new york, united states",united states,linkedin.com/company/aig-global-investment-group,141,233
5297456,televes,televes.com,1958.0,electrical/electronic manufacturing,201 - 500,"santiago de compostela, galicia, spain",spain,linkedin.com/company/televes,161,328
2476664,york technical college,yorktech.edu,1964.0,higher education,501 - 1000,"rock hill, south carolina, united states",united states,linkedin.com/company/york-technical-college,384,798
1918431,iris (canon group),irislink.com,1987.0,information technology and services,501 - 1000,"brussels, brussels hoofdstedelijk gewest, belgium",belgium,linkedin.com/company/i-r-i-s--product-and-technologies,242,641
5208595,tpc ag,tpcag.ch,1999.0,media production,201 - 500,"zurich, zurich, switzerland",switzerland,linkedin.com/company/tpc-switzerland-ag,110,178
3394926,muscogee county school district,muscogee.k12.ga.us,,education management,1001 - 5000,"columbus, georgia, united states",united states,linkedin.com/company/muscogee-county-school-district,1049,1496
6824825,"canadian bank note company, limited",cbnco.com,1897.0,information technology and services,201 - 500,"ottawa, ontario, canada",canada,linkedin.com/company/canadian-bank-note-company-limited,179,319
3908181,scope international ag,scope-international.com,2000.0,pharmaceuticals,201 - 500,"pittsburgh, pennsylvania, united states",united states,linkedin.com/company/scope-international-ag,101,202
4602032,ohio epa,,1972.0,environmental services,501 - 1000,"warrensville heights, ohio, united states",united states,linkedin.com/company/ohio-epa,323,601
202720,its infocom,itsinfocom.com,1998.0,information technology and services,501 - 1000,"san josé, san jose, costa rica",costa rica,linkedin.com/company/its-infocom,225,916
4878058,bulgari,bulgari.com,,luxury goods & jewelry,5001 - 10000,"rome, lazio, italy",italy,linkedin.com/company/bulgari,1818,4412
308669,enermech,enermech.com,2008.0,oil & energy,1001 - 5000,"aberdeen, aberdeen city, united kingdom",united kingdom,linkedin.com/company/enermech,1284,2547
2794615,tritech software systems,tritech.com,1993.0,public safety,501 - 1000,"san diego, california, united states",united states,linkedin.com/company/tritech-software-systems,346,690
5926960,madera county office of education,maderacoe.k12.ca.us,,education management,201 - 500,,,linkedin.com/company/madera-county-office-of-education,119,192
736797,injured workers pharmacy,iwpharmacy.com,2001.0,pharmaceuticals,201 - 500,"andover, massachusetts, united states",united states,linkedin.com/company/injured-workers-pharmacy,129,333
1112380,"moore and sadler loft conversions, builders",,,construction,501 - 1000,,,linkedin.com/company/moore-and-sadler-loft-conversions-builders,264,268
2926227,merchant e-solutions,merchante-solutions.com,1999.0,financial services,201 - 500,"redwood city, california, united states",united states,linkedin.com/company/merchant-e-solutions,166,396
1470348,ajman university of science and technology (aust),ajman.ac.ae,1988.0,higher education,1001 - 5000,"ajman, ajman, united arab emirates",united arab emirates,linkedin.com/company/ajman-university-of-science-and-technology-aust-,519,1073
2153422,al-imam muhammad ibn saud islamic university,,,higher education,201 - 500,,,linkedin.com/company/al-imam-muhammad-ibn-saud-islamic-university,115,174
4113513,ransa,ransa.biz,1939.0,logistics and supply chain,1001 - 5000,"lima, lima region, peru",peru,linkedin.com/company/ransa,1285,2735
5598376,glocal healthcare,ghspl.com,2010.0,hospital & health care,501 - 1000,"calcutta, west bengal, india",india,linkedin.com/company/glocal-healthcare-systems,219,347
676587,hospital santa casa de são paulo,,,hospital & health care,501 - 1000,"sao paulo, sao paulo, brazil",brazil,linkedin.com/company/santacasademisericordiadesaopaulo,187,338
4852541,kpmg czech republic,kpmg.cz,1990.0,management consulting,1001 - 5000,"prague, praha, czechia",czechia,linkedin.com/company/kpmg-czech-republic,472,1161
4833398,dorothy potter spanish,komtlater.nl,2011.0,management consulting,201 - 500,,,linkedin.com/company/.consultancy,129,151
357576,b2x care solutions,b2x.com,2007.0,telecommunications,501 - 1000,"munich, bavaria, germany",germany,linkedin.com/company/b2x-care-solutions,231,475
6805825,worldwide express,wwex.com,1995.0,package/freight delivery,1001 - 5000,"dallas, texas, united states",united states,linkedin.com/company/worldwide-express,876,2320
143912,hilti australia,hilti.com.au,1960.0,construction,201 - 500,"rhodes, new south wales, australia",australia,linkedin.com/company/hiltiaustralia,205,443
3163641,norcom mortgage,norcommortgage.com,1990.0,real estate,201 - 500,"avon, connecticut, united states",united states,linkedin.com/company/norcom-mortgage,167,301
434990,prcs,prcshealthcare.com,,hospital & health care,201 - 500,,,linkedin.com/company/prcs,108,188
785233,gbarbosa comercial ltda,gbarbosa.com.br,,retail,501 - 1000,,,linkedin.com/company/gbarbosa-comercial-ltda,281,672
4164778,youth services bureau of ottawa,ysb.ca,1960.0,individual & family services,201 - 500,"ottawa, ontario, canada",canada,linkedin.com/company/youth-services-bureau-of-ottawa,102,226
166001,credicorp capital,credicorpcapital.com,,financial services,1001 - 5000,"santiago, santiago metropolitan, chile",chile,linkedin.com/company/credicorp-capital,415,909
5239857,bank of queensland,boq.com.au,,banking,1001 - 5000,"brisbane, queensland, australia",australia,linkedin.com/company/bank-of-queensland,1366,3610
2264951,ind,indcorp.com,1990.0,information technology and services,1001 - 5000,"parsippany, new jersey, united states",united states,linkedin.com/company/ind-corporation,526,664
233342,valleycrest companies,valleycrest.com,1949.0,construction,1001 - 5000,"calabasas, california, united states",united states,linkedin.com/company/valleycrest-companies,630,2181
2094805,"long and foster, realtors",,1968.0,real estate,501 - 1000,"chantilly, virginia, united states",united states,linkedin.com/company/long-and-foster-realtors,455,683
5449672,the university of alabama,ua.edu,1831.0,higher education,5001 - 10000,"tuscaloosa, alabama, united states",united states,linkedin.com/company/university-of-alabama,4723,14239
4296607,arbonne- inspired beauty & wealth-creating empowerment & financial independenc,abfe.org,,consumer services,201 - 500,,,linkedin.com/company/arbonne--inspired-beauty-&-wealth-creating-empowerment-&-financial-independenc,114,135
3779631,drm,drm.com.br,,information technology and services,201 - 500,"omaha, nebraska, united states",united states,linkedin.com/company/drm,128,481
676754,byggmakker,byggmakker.no,1963.0,retail,201 - 500,"lillestrom, akershus, norway",norway,linkedin.com/company/byggmakker,156,632
483273,m8 advisory group,m8advisorygroup.com,,renewables & environment,501 - 1000,"kiev, kyyiv, ukraine",ukraine,linkedin.com/company/m8-advisory-group,250,252
3474998,luiss guido carli university,,,information technology and services,501 - 1000,,,linkedin.com/company/luiss-guido-carli-university,252,440
451425,belton school district,beltonschools.org,,primary/secondary education,201 - 500,"belton, missouri, united states",united states,linkedin.com/company/belton-school-district,231,389
279762,loscam group,loscam.com,1942.0,logistics and supply chain,201 - 500,,,linkedin.com/company/loscam-limited,116,194
5617483,aami,aami.com.au,1970.0,insurance,201 - 500,"victoria park, western australia, australia",australia,linkedin.com/company/aami,198,1383
343409,upper queen ltd,digitalconsultant.co.nz,,commercial real estate,201 - 500,"newton, auckland, new zealand",new zealand,linkedin.com/company/upper-queen-ltd,108,111
5426734,universidad blas pascal,ubp.edu.ar,1990.0,higher education,501 - 1000,"córdoba, cordoba, argentina",argentina,linkedin.com/company/universidad-blas-pascal,261,566
2237552,northern valley regional high school,nvrhs.org,,mental health care,201 - 500,"old tappan, new jersey, united states",united states,linkedin.com/company/northern-valley-regional-high-school,146,222
3647752,sjöfartsverket,sjofartsverket.se,,maritime,501 - 1000,"norrköping, östergötland, sweden",sweden,linkedin.com/company/sjofartsverket,329,581
1968899,cheek s.a,cheeky.com.ar,,apparel & fashion,201 - 500,"live oak, florida, united states",united states,linkedin.com/company/cheek-s.a,114,411
608913,landbank . s.a.,landbank.co.za,,farming,201 - 500,"manila, manila, philippines",philippines,linkedin.com/company/landbank-.-s.a.,133,274
991385,roskilde university,ruc.dk,1972.0,research,1001 - 5000,"roskilde, sjelland, denmark",denmark,linkedin.com/company/roskilde-university,1027,3050
1234535,inonu university,,,higher education,1001 - 5000,,,linkedin.com/company/inonu-university,491,623
1844393,schumacher auto group,schumacherauto.com,1971.0,retail,201 - 500,"west palm beach, florida, united states",united states,linkedin.com/company/schumacher-auto-group,116,232
3745944,"klermaker, modist",tec-explorer.com,,education management,1001 - 5000,,,linkedin.com/company/---0---,342,393
1377965,red capital group,redcapitalgroup.com,1990.0,banking,201 - 500,"columbus, ohio, united states",united states,linkedin.com/company/red-capital-group,146,362
